178.76000000	0.00000000
179.14000000	0.00000000
179.52000000	0.00000000
179.90000000	0.00000000
180.28000000	0.00000000
180.66000000	0.00000000
181.04000000	0.00000000
181.42000000	0.00000000
181.80000000	0.00000000
182.18000000	0.00000000
182.55000000	0.00000000
182.93000000	0.00000000
183.31000000	0.00000000
183.69000000	0.00000000
184.07000000	0.00000000
184.45000000	0.00000000
184.83000000	0.00000000
185.21000000	0.00000000
185.59000000	0.00000000
185.97000000	0.00000000
186.35000000	0.00000000
186.72000000	0.00000000
187.10000000	0.00000000
187.48000000	0.00000000
187.86000000	0.00000000
188.24000000	0.00000000
188.62000000	283105022831.04968262
189.00000000	292630820931.34875488
189.38000000	473436893203.88348389
189.75000000	453603268945.02258301
190.13000000	443874954561.97686768
190.51000000	709134873723.80480957
190.89000000	260135690789.47387695
191.27000000	166574512901.52703857
191.65000000	470633319887.05017090
192.03000000	427586206896.55145264
192.40000000	299265477439.66436768
192.78000000	332691746864.97467041
193.16000000	378541464988.70538330
193.54000000	288629169710.25091553
193.92000000	342676258992.80572510
194.30000000	501812052254.52972412
194.67000000	374652338811.63128662
195.05000000	410196348604.89251709
195.43000000	447232472324.72326660
195.81000000	495015698587.12683105
196.19000000	340431848852.90148926
196.56000000	501910067648.23065186
196.94000000	597303473491.77282715
197.32000000	315414922432.89801025
197.70000000	477947761194.02984619
198.08000000	421626069782.75158691
198.45000000	595941632466.93981934
198.83000000	488662467580.58605957
199.21000000	594988610478.35986328
199.59000000	320852963054.79779053
199.97000000	400619195046.43963623
200.34000000	550800821355.23608398
200.72000000	494360486546.25927734
201.10000000	263650248186.33056641
201.48000000	385485186191.89941406
201.85000000	728931451612.90454102
202.23000000	500757054370.26855469
202.61000000	561008468052.34753418
202.99000000	252701307639.36691284
203.36000000	575547024952.01635742
203.74000000	447319347319.34637451
204.12000000	614015748031.49609375
204.49000000	584996249062.26672363
204.87000000	465394775462.28375244
205.25000000	598060836501.90112305
205.63000000	679572649572.64953613
206.00000000	685431034482.75732422
206.38000000	491508857666.46221924
206.76000000	460299519638.31640625
207.14000000	698841698841.69909668
207.51000000	768848542761.58557129
207.89000000	401330376940.13250732
208.27000000	694797687861.27221680
208.64000000	800570884871.54980469
209.02000000	698257261410.78710938
209.40000000	526899696048.63220215
209.77000000	584062059238.36413574
210.15000000	224525951557.09341431
210.53000000	581482834185.53649902
210.90000000	300278189910.97882080
211.28000000	489667458432.30377197
211.66000000	302827763496.14373779
212.03000000	420537328855.59246826
212.41000000	554376478540.04711914
212.79000000	501958384332.92504883
213.16000000	519936608557.84545898
213.54000000	406106870229.00726318
213.92000000	416980172852.05938721
214.29000000	468686296715.74145508
214.67000000	448642108093.57342529
